HUD Metro Fair Market Rent Area Name,CBSASub23,ZIPCode,erap_fmr_br0,erap_fmr_br1,erap_fmr_br2,erap_fmr_br3,erap_fmr_br4
"Abilene, TX MSA",METRO10180M10180,76437,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,76443,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,76464,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,76469,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79501,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79503,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79504,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79508,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79510,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79519,$870,$890,"$1,130","$1,510","$1,810"
"Abilene, TX MSA",METRO10180M10180,79520,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79521,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79525,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79530,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79533,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79536,$930,$950,"$1,210","$1,610","$1,940"
"Abilene, TX MSA",METRO10180M10180,79541,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79553,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79560,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79561,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79562,$980,"$1,000","$1,270","$1,690","$2,030"
"Abilene, TX MSA",METRO10180M10180,79563,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79566,$870,$890,"$1,130","$1,510","$1,810"
"Abilene, TX MSA",METRO10180M10180,79567,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79601,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79602,$870,$890,"$1,130","$1,510","$1,810"
"Abilene, TX MSA",METRO10180M10180,79603,$860,$876,"$1,117","$1,488","$1,789"
"Abilene, TX MSA",METRO10180M10180,79604,$870,$890,"$1,130","$1,510","$1,810"
"Abilene, TX MSA",METRO10180M10180,79605,$910,$930,"$1,180","$1,570","$1,890"
"Abilene, TX MSA",METRO10180M10180,79606,$920,$940,"$1,200","$1,600","$1,920"
"Abilene, TX MSA",METRO10180M10180,79607,"$1,130","$1,150","$1,470","$1,960","$2,350"
"Abilene, TX MSA",METRO10180M10180,79608,$870,$890,"$1,130","$1,510","$1,810"
"Abilene, TX MSA",METRO10180M10180,79699,$860,$876,"$1,117","$1,488","$1,789"
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00601,$450,$453,$519,$670,$750
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00602,$450,$453,$519,$632,$713
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00603,$500,$510,$580,$710,$800
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00604,$510,$520,$590,$720,$810
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00605,$510,$520,$590,$720,$810
